yyyymm,ra_bex_PAPER,unc_bex_AnnualVolPercentage
6/30/1986,2.845672728,2.063935713
7/31/1986,2.873245332,2.111488898
8/31/1986,3.01034572,2.317760651
9/30/1986,3.01558729,1.947945827
10/31/1986,2.88104236,2.003990113
11/30/1986,2.860484106,2.077623062
12/31/1986,2.846664672,2.044307608
1/31/1987,3.139308019,1.993447194
2/28/1987,2.940069672,1.671722775
3/31/1987,2.874396014,1.423085159
4/30/1987,3.415954747,1.833652216
5/31/1987,2.92701919,1.411211928
6/30/1987,2.86859949,1.337751384
7/31/1987,2.581252937,1.058798683
8/31/1987,2.786210095,0.893980752
9/30/1987,2.867475098,1.186326004
10/31/1987,4.094453883,2.0171056
11/30/1987,5.778453627,2.219662526
12/31/1987,4.357421545,2.072837513
1/31/1988,4.050512868,2.460525036
2/29/1988,3.466336109,1.928158925
3/31/1988,3.2185905,1.74613597
4/30/1988,3.069838498,1.619318162
5/31/1988,2.859077323,1.588797379
6/30/1988,3.058056063,1.911101175
7/31/1988,2.899871981,1.797357218
8/31/1988,2.847284663,1.848911968
9/30/1988,2.688078892,1.684893078
10/31/1988,2.866897595,1.751359291
11/30/1988,2.617153352,1.686879529
12/31/1988,2.68735268,1.776049176
1/31/1989,2.66813267,1.839131602
2/28/1989,2.584941481,1.621435542
3/31/1989,2.547879706,1.663289419
4/30/1989,2.638437116,1.833506086
5/31/1989,2.728833943,2.077759576
6/30/1989,2.79525345,2.175996731
7/31/1989,2.752279296,2.121886638
8/31/1989,2.660052524,1.834655632
9/30/1989,2.575402972,1.771575467
10/31/1989,2.750747244,2.026527563
11/30/1989,2.782998978,2.126984744
12/31/1989,2.672470817,2.023497095
1/31/1990,2.979039578,1.967837031
2/28/1990,2.859178401,1.934434765
3/31/1990,2.707189033,1.825701881
4/30/1990,2.708365616,1.781822178
5/31/1990,2.657097327,1.964954533
6/30/1990,2.579176323,1.964533961
7/31/1990,2.818667103,1.981913194
8/31/1990,3.227534904,2.106220508
9/30/1990,3.381746565,2.193451886
10/31/1990,3.382193647,2.386119517
11/30/1990,2.981227293,2.453427058
12/31/1990,3.338498309,2.428685595
1/31/1991,2.837358036,2.287788004
2/28/1991,2.937041902,2.153893928
3/31/1991,2.625949345,1.763502153
4/30/1991,2.627054024,1.626545771
5/31/1991,2.562094906,1.604370341
6/30/1991,2.6969999,1.494981511
7/31/1991,2.515890501,1.397592202
8/31/1991,2.502972424,1.562924299
9/30/1991,2.633639328,1.723741628
10/31/1991,2.607438817,1.70360351
11/30/1991,2.773577223,1.707300934
12/31/1991,2.818000627,1.960145303
1/31/1992,2.645905639,1.301207194
2/29/1992,2.643289123,1.400549261
3/31/1992,2.576967305,1.111565727
4/30/1992,2.484555763,0.845765931
5/31/1992,2.505048254,1.081685412
6/30/1992,2.488711839,1.150127985
7/31/1992,2.54167832,1.366403173
8/31/1992,2.547264026,1.332403177
9/30/1992,2.629587013,1.574859848
10/31/1992,2.653959476,1.44001321
11/30/1992,2.513345707,1.179372253
12/31/1992,2.547723962,1.287243098
1/31/1993,2.557936443,1.352031814
2/28/1993,2.550674116,1.465156816
3/31/1993,2.53505628,1.399151653
4/30/1993,2.516604883,1.346162892
5/31/1993,2.554372723,1.344823718
6/30/1993,2.512872387,1.426307476
7/31/1993,2.512031089,1.343541472
8/31/1993,2.51253793,1.288879906
9/30/1993,2.53173286,1.283151085
10/31/1993,2.505605193,1.270231913
11/30/1993,2.536168249,1.138753386
12/31/1993,2.820073459,1.853679097
1/31/1994,2.445579635,0.958802516
2/28/1994,2.527854717,0.960167833
3/31/1994,2.777944777,0.896368356
4/30/1994,2.449981441,0.597903298
5/31/1994,2.55654071,1.091430917
6/30/1994,2.521267535,0.660856952
7/31/1994,2.430429592,0.745909993
8/31/1994,2.422473711,0.717198916
9/30/1994,2.492587896,0.649325874
10/31/1994,2.489316186,0.720350866
11/30/1994,2.508803505,0.686835984
12/31/1994,2.435733469,0.74293919
1/31/1995,2.447444672,1.002704833
2/28/1995,2.535601668,1.403073272
3/31/1995,2.519751383,1.190241491
4/30/1995,2.456513727,1.090398802
5/31/1995,2.540544007,1.509582542
6/30/1995,2.600294229,1.67423563
7/31/1995,2.5395478,1.343853785
8/31/1995,2.486571765,1.282077292
9/30/1995,2.522967843,1.290944742
